,CHSI_County_Name,CHSI_State_Name,Population_Size,Obesity,No_Exercise,Few_Fruit_Veg,Poverty,No_HS_Diploma,Major_Depression,Diabetes,Non-White,Uninsured,High_Blood_Pres
0,Autauga,Alabama,48612,24.5,27.8,78.6,10.4,13.8,5.5,14.2,19.299999999999997,11.7,29.1
1,Baldwin,Alabama,162586,23.6,27.2,76.2,10.2,12.5,5.8,7.2,11.599999999999994,12.2,30.5
7,Calhoun,Alabama,112141,27.0,29.2,81.9,16.4,17.4,5.7,11.2,21.700000000000003,14.7,33.2
10,Chilton,Alabama,41744,31.2,30.3,82.8,14.9,22.7,5.6,6.0,11.700000000000003,14.7,26.5
21,Cullman,Alabama,79886,22.2,29.4,76.2,13.3,20.4,5.7,10.0,2.700000000000003,14.9,35.0
24,DeKalb,Alabama,67271,24.3,37.0,80.7,15.1,24.6,5.6,7.8,4.0,18.2,35.3
25,Elmore,Alabama,73937,24.8,27.7,85.0,12.5,14.8,5.6,5.5,22.700000000000003,11.3,23.0
27,Etowah,Alabama,103189,27.1,34.1,81.4,15.7,17.8,5.7,10.2,16.200000000000003,15.7,38.2
34,Houston,Alabama,94249,29.5,32.9,77.7,15.3,15.7,5.6,8.8,27.799999999999997,15.1,34.0
35,Jackson,Alabama,53650,29.4,34.0,82.3,14.5,23.0,5.7,6.1,7.400000000000006,13.6,29.2
36,Jefferson,Alabama,657229,27.1,29.0,79.1,14.4,12.7,5.6,9.7,43.2,13.3,31.9
38,Lauderdale,Alabama,87691,23.8,25.8,77.1,15.6,16.1,5.8,6.7,11.099999999999994,13.0,34.7
40,Lee,Alabama,123254,21.7,25.9,74.9,15.1,10.5,5.7,7.8,25.900000000000006,14.1,24.5
44,Madison,Alabama,298192,23.1,22.9,75.6,10.9,9.6,5.6,6.5,28.299999999999997,12.0,24.9
47,Marshall,Alabama,85634,27.5,34.8,82.1,15.2,20.6,5.6,7.2,3.4000000000000057,17.0,36.8
48,Mobile,Alabama,401427,26.6,30.8,76.2,18.5,14.9,5.5,6.6,37.8,16.4,27.2
50,Montgomery,Alabama,221619,23.9,28.2,75.6,18.0,12.4,5.5,8.5,54.9,14.6,27.8
51,Morgan,Alabama,113740,22.5,23.4,74.5,13.2,16.0,5.7,6.7,14.299999999999997,14.2,32.7
57,St. Clair,Alabama,72330,27.6,28.2,79.7,13.1,19.5,5.7,13.0,9.700000000000003,11.8,39.0
58,Shelby,Alabama,171465,20.8,18.9,78.3,6.9,8.7,5.5,4.8,11.799999999999997,7.7,26.7
60,Talladega,Alabama,80457,32.7,34.1,79.1,16.8,20.4,5.7,10.9,32.5,15.4,42.2
62,Tuscaloosa,Alabama,168908,25.3,27.1,79.0,16.5,13.2,5.7,7.9,32.3,13.8,29.7
63,Walker,Alabama,70117,30.5,34.9,79.3,14.8,22.8,5.7,11.5,7.5,15.4,35.0
94,Apache,Arizona,69343,24.6,22.6,64.6,27.5,19.2,4.8,7.5,77.8,24.8,18.4
95,Cochise,Arizona,126106,23.8,22.8,72.7,16.3,13.2,5.5,9.1,9.900000000000006,19.0,26.0
96,Coconino,Arizona,123866,16.5,14.8,71.0,15.6,9.3,5.4,4.2,33.900000000000006,18.3,17.2
97,Gila,Arizona,51663,24.5,32.7,74.2,17.1,14.7,5.6,8.8,16.5,20.1,34.5
98,Graham,Arizona,33073,23.8,25.8,79.4,20.5,14.4,5.3,10.9,19.599999999999994,19.2,24.9
101,Maricopa,Arizona,3635528,19.9,23.3,74.7,12.8,11.0,5.4,6.3,11.0,14.8,21.4
102,Mohave,Arizona,187200,25.0,27.9,77.6,14.9,15.7,5.7,7.5,5.799999999999997,17.0,30.6
103,Navajo,Arizona,108432,25.1,23.7,75.4,21.4,16.2,5.0,8.8,51.5,20.5,27.1
104,Pima,Arizona,924786,19.7,20.9,70.7,14.3,10.8,5.6,6.6,11.299999999999997,16.2,23.8
105,Pinal,Arizona,229549,26.7,26.9,73.8,14.6,17.8,5.6,10.6,13.099999999999994,14.6,28.3
106,Santa Cruz,Arizona,42009,20.0,36.9,66.8,19.2,22.6,5.0,7.0,2.299999999999997,27.5,20.4
107,Yavapai,Arizona,198701,16.0,23.4,69.3,12.0,10.9,5.9,5.7,4.400000000000006,14.5,28.5
108,Yuma,Arizona,181277,25.7,26.7,73.5,18.0,20.7,5.2,9.2,7.0,25.0,26.8
110,Ashley,Arkansas,23178,30.2,35.0,88.8,17.8,18.3,6.3,7.7,28.700000000000003,16.3,28.9
111,Baxter,Arkansas,40330,22.7,24.9,71.9,13.7,16.8,6.9,10.2,2.0,12.9,33.8
112,Benton,Arkansas,186938,21.5,22.3,77.4,10.0,12.6,6.2,5.8,6.200000000000003,12.1,25.4
113,Boone,Arkansas,35793,23.7,31.4,77.9,15.3,16.1,6.5,6.7,2.299999999999997,14.1,30.4
118,Clark,Arkansas,22916,20.8,30.0,75.0,17.2,14.8,6.5,6.3,24.700000000000003,15.6,27.3
120,Cleburne,Arkansas,25391,25.1,29.4,72.7,14.4,18.2,6.8,8.6,1.7999999999999972,14.7,34.5
123,Conway,Arkansas,20739,26.5,29.9,87.2,16.5,18.0,6.4,4.9,14.5,14.9,32.7
124,Craighead,Arkansas,86735,29.1,29.9,77.7,15.9,14.5,6.3,6.2,11.700000000000003,13.4,27.3
125,Crawford,Arkansas,57630,21.1,27.5,82.6,14.2,18.5,6.2,5.8,6.599999999999994,15.6,27.5
126,Crittenden,Arkansas,51882,30.0,29.1,83.0,22.5,18.7,5.9,11.5,50.8,19.4,33.6
131,Faulkner,Arkansas,97147,23.6,24.4,78.6,12.8,10.2,6.3,4.8,11.700000000000003,11.0,22.9
132,Franklin,Arkansas,18218,27.4,28.7,85.3,16.4,19.4,6.4,4.7,3.299999999999997,15.3,17.5
