,CHSI_County_Name,CHSI_State_Name,Population_Size,Obesity,No_Exercise,Few_Fruit_Veg,Poverty,No_HS_Diploma,Major_Depression,Diabetes,Non-White,Uninsured,High_Blood_Pres
0,Autauga,Alabama,48612,24.5,27.8,78.6,10.4,13.762034065662798,5.513042047231136,14.2,19.299999999999997,11.704928824158642,29.1
1,Baldwin,Alabama,162586,23.6,27.2,76.2,10.2,12.45740715682777,5.753262888563591,7.2,11.599999999999994,12.176940203953599,30.5
7,Calhoun,Alabama,112141,27.0,29.2,81.9,16.4,17.429842787205395,5.707100881925433,11.2,21.700000000000003,14.674383142650772,33.2
10,Chilton,Alabama,41744,31.2,30.3,82.8,14.9,22.719432732847835,5.641529321579149,6.0,11.700000000000003,14.684745113070141,26.5
21,Cullman,Alabama,79886,22.2,29.4,76.2,13.3,20.37278121322885,5.72315549658263,10.0,2.700000000000003,14.911248529154046,35.0
24,DeKalb,Alabama,67271,24.3,37.0,80.7,15.1,24.564819907538165,5.633928438703156,7.8,4.0,18.2247922581796,35.3
25,Elmore,Alabama,73937,24.8,27.7,85.0,12.5,14.849128311941248,5.639936702868659,5.5,22.700000000000003,11.25282334960845,23.0
27,Etowah,Alabama,103189,27.1,34.1,81.4,15.7,17.77418135653994,5.714756417835234,10.2,16.200000000000003,15.679965887836882,38.2
34,Houston,Alabama,94249,29.5,32.9,77.7,15.3,15.745525151460493,5.5809610712049995,8.8,27.799999999999997,15.103608526350412,34.0
35,Jackson,Alabama,53650,29.4,34.0,82.3,14.5,23.028890959925445,5.733457595526561,6.1,7.400000000000006,13.595526561043803,29.2
36,Jefferson,Alabama,657229,27.1,29.0,79.1,14.4,12.740916788516635,5.628936032950463,9.7,43.2,13.302517083086718,31.9
38,Lauderdale,Alabama,87691,23.8,25.8,77.1,15.6,16.128222964728423,5.8010514191878295,6.7,11.099999999999994,13.02756269172435,34.7
40,Lee,Alabama,123254,21.7,25.9,74.9,15.1,10.538400376458371,5.676894867509371,7.8,25.900000000000006,14.064452269297547,24.5
44,Madison,Alabama,298192,23.1,22.9,75.6,10.9,9.621317808660192,5.615844824810861,6.5,28.299999999999997,11.986572409722594,24.9
47,Marshall,Alabama,85634,27.5,34.8,82.1,15.2,20.551416493448862,5.580727281220076,7.2,3.4000000000000057,17.041128523717212,36.8
48,Mobile,Alabama,401427,26.6,30.8,76.2,18.5,14.898599247185665,5.460768707635511,6.6,37.8,16.363373664452066,27.2
50,Montgomery,Alabama,221619,23.9,28.2,75.6,18.0,12.39785397461409,5.491857647584368,8.5,54.9,14.556062431470226,27.8
51,Morgan,Alabama,113740,22.5,23.4,74.5,13.2,16.016353085985582,5.651485844909442,6.7,14.299999999999997,14.152452962897838,32.7
57,St. Clair,Alabama,72330,27.6,28.2,79.7,13.1,19.517489285220517,5.700262684916355,13.0,9.700000000000003,11.798700400940136,39.0
58,Shelby,Alabama,171465,20.8,18.9,78.3,6.9,8.65832677222757,5.549237453707754,4.8,11.799999999999997,7.726941358294696,26.7
